"kMV","alpha","lrrA","lrrV"
264515.944788821,0.884178701173152,33.9012504687324,28.3523586531967
236515.925569892,0.885718995132213,30.3545408755906,27.3258436663826
292836.735359104,0.886890173038739,38.1688541782148,25.1260289154213
248024.507008031,0.882005405027804,31.8552582261482,28.2136480060681
226899.38651652,0.881658895564239,28.8160729846844,27.3725425552366
249005.299660712,0.878516317795125,26.9130051782243,32.6894445387088
232336.162125352,0.881790611821158,31.6552383567877,26.6055759930303
270348.858493949,0.882090842171332,32.8564738862278,30.8478757008516
242353.040850837,0.882371693877639,30.2429352086305,26.2387132069402
294416.564610743,0.884298896359926,35.9759567134072,27.9085383285785
252507.597066515,0.884892321691425,31.4396941169137,27.7223385174153
244659.68603554,0.881509717943313,28.798783947039,26.340540586
264266.157416312,0.884040989368847,32.0400319059862,29.170165724802
268965.967884375,0.884910831438494,31.0715758986232,28.6654965458413
255235.222956696,0.884710301093308,31.4351601572108,26.5524154470973
239618.636345588,0.885478858256982,29.1863887816416,26.6521332349395
230104.231366908,0.881199016511876,28.6185914130431,29.4203706389909
258538.583096145,0.884201049609102,33.2244550116861,27.8220421043686
256418.524815027,0.88462992587125,32.7463298664645,28.0119226409276
258524.308300119,0.882450356487121,25.5067692093251,34.0085009767134
255594.980138926,0.884744421129842,32.6602816624495,27.5354712357601
242770.229839526,0.883748100029117,30.1603822136621,30.4120396838519
274628.919722012,0.884695429637687,32.4888309172738,29.0720753788261
267464.530925299,0.884554507259106,31.0385409818104,27.8103802925967
256144.273442477,0.884941738178536,31.9298920396819,26.783880968822
293845.554075789,0.886570565485047,38.4601499970592,23.3773696909568
230100.984507682,0.882117839540635,30.9093127175841,28.875501581229
226646.141060448,0.876403914068453,26.9324616069428,32.4798547167608
229567.301395474,0.881559398676665,30.8411686543573,27.4309743381184
237951.822346812,0.881881457765367,28.3101633692497,30.0062147947915
289895.533818919,0.886065937711013,35.567135377632,27.8849699316916
255672.392939707,0.884106709961557,30.8329761331152,27.8202162546102
244453.677108366,0.883701857954494,26.1778528371134,31.6454945419723
271527.814324544,0.88274119672321,30.7334141096565,32.6368125495822
259224.275962689,0.883566004508032,32.8715789544695,28.0237147864121
256132.53037932,0.88440006503975,30.4928554779257,29.1635798141878
268853.581904572,0.881562902218704,30.7421900435161,29.5374979710072
277537.795901276,0.887454168329205,39.0210642641479,25.183940594747
296672.17639109,0.886909369200734,34.7316470116751,29.4820422150375
269762.766308527,0.883748017857127,31.9414666167735,30.0124592195523
231832.173211371,0.88138631461757,29.039091654818,27.1755401652312
277715.764903804,0.886819582588358,38.6585954953373,25.3618801452134
264598.367858788,0.882592426551582,32.6329765205629,27.7583013916648
223914.201286305,0.880529310879659,26.1055810663031,30.1946341736947
261308.451259748,0.885925063164207,30.0272485141953,30.2872110956204
276538.800339902,0.88308475708311,31.6740170919615,30.6145040542481
272580.422312922,0.888711786420641,29.3622036943869,29.1670067037034
264406.059241677,0.886674037730456,31.0728972905637,30.7809999089976
235318.146098937,0.878637447307018,24.3369755455368,31.8406338878425
237233.745193455,0.882335302749739,30.7536735824621,27.8712451704062
264626.04594977,0.883188829158857,30.4141867345048,31.5290707847581
295114.97396606,0.887761748419976,38.280116479746,27.3640799203088
256045.993276938,0.884406870879268,32.2897433275001,27.3813002033583
235926.98926429,0.881644815427358,29.367998819173,28.0987599907933
252218.584307402,0.884461418507075,32.3722876527729,27.2072589890703
275041.644506451,0.887566142187471,38.5454768540311,25.550854645841
236218.819639198,0.881169045340798,29.8990601359765,28.4523968778016
289363.187400404,0.886658690256818,35.6725764356425,28.8685517130298
221518.510408626,0.879019655280944,25.7605777783527,29.8421363145484
264542.47869839,0.884159061228664,30.2918600720682,30.84834542838
240436.316046967,0.881790273983862,30.3585374597573,27.8210536484121
276941.724582605,0.885149713469185,30.9710971178028,29.7076239890207
262440.200362561,0.882544977559267,27.8181083410255,30.3213110842341
293245.465511278,0.886750611253882,34.4925901148331,29.6052717196022
263270.749635765,0.884609613205322,33.1715509638367,28.2934842695018
251962.346226096,0.882795133756009,28.5519963010548,30.2361575387811
234060.676789573,0.879830603087665,28.5393743593222,28.6867810093899
254536.447440397,0.885106586492219,33.2754485426548,28.0996467359597
275423.711216928,0.884264428204803,32.1849608751331,30.3210094924696
213584.273404327,0.880145762978478,20.4628198392167,34.5458839951777
290518.845027457,0.885771470512138,36.0234796793024,30.5773659911204
256215.503199669,0.88474010157515,32.3399499554932,27.5168514790833
235541.369706968,0.881753872680403,30.0498427131031,28.441947482578
262876.614423545,0.887131006512002,35.2265417997908,27.7642271485262
276855.234538157,0.886129367763627,37.8066647855575,26.7268526792202
260941.540316733,0.883774714084746,31.6244119334899,27.4978567768431
225323.496328555,0.88010264779801,27.9147080388089,30.2387960473455
226218.050347888,0.883768748805359,27.580319786104,27.5974623121881
252644.566332785,0.884891442004465,32.0856295796382,27.3620968218812
294604.311715386,0.886778682060364,37.1666718132346,23.98117838637
